Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,470,0,5.56,21,6,13
Chocolate Pen - Target,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,50,0,0.48,1,0,1
Chocolate Pen - Target,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1457,1,15.67,59,18,43
Chocolate Pen - Target,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,6991,13,19.28,403,128,314
Chocolate Pen - Target,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3739,8,16.02,222,59,166
Chocolate Pen - Target,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3556,3,41.97,159,40,105
Chocolate Pen - Walmart,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1450,2,15.73,56,18,35
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,205,0,0.27,5,3,4
Chocolate Pen - Walmart,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,215,0,1.77,5,2,2
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,6388,5,69.78,257,70,170
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,24413,41,101.58,1405,410,1077
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,303,0,0.92,11,3,8
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,20505,31,69.61,1464,429,1209
Chocolate Pen - Amazon,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3950,4,44.34,168,42,117
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,395,1,3.48,10,4,7
Chocolate Pen - Amazon,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5908,6,52.9,174,44,116
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,467,1,4.84,13,2,9
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3596,3,35.61,131,30,91
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,6941,4,65.0,176,45,119
Chocolate Pen - Target,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5884,10,56.06,183,46,119
Chocolate Pen - Target,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1741,1,19.7,89,25,60
Chocolate Pen - Target,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1052,0,12.76,40,14,27
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3728,4,36.43,122,31,82
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3471,5,38.22,130,38,84
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3007,2,33.26,125,27,75
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,4122,4,47.16,171,45,124
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,69,0,0.79,4,1,1
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,381,1,3.46,13,2,9
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3240,3,18.53,138,39,97
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3147,8,28.53,206,78,136
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2610,6,26.33,173,39,97
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2160,4,15.84,130,41,85
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1971,6,10.76,81,24,61
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1271,1,12.59,115,56,95
Chocolate Pen - Target,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1124,3,10.24,75,27,54
Chocolate Pen - Target,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,877,0,8.27,64,17,33
Chocolate Pen - Target,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1269,2,11.02,74,20,45
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,13201,32,101.62,776,209,504
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,5868,11,44.02,375,133,251
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,19258,40,117.94,1000,278,619
Chocolate Pen,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1404,0,17.16,103,33,67
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1869,4,26.45,144,47,100
Chocolate Pen - Target,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,490,2,6.5,33,14,25
Chocolate Pen,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,9274,0,109.09,593,161,368
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,5794,11,70.14,334,75,211
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3320,3,37.47,178,66,131
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,976,1,15.36,56,20,44
Chocolate Pen - Target,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,532,1,7.3,38,18,29
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1834,5,20.81,101,29,59
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,999,4,12.0,53,17,34
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,731,2,4.85,38,11,24
Chocolate Pen - Walmart,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1394,5,11.37,87,31,68
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,11811,24,59.19,538,221,411
Chocolate Pen - Walmart,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,371,1,2.72,21,4,12
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3387,14,30.33,275,83,187
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,16043,36,137.38,1068,272,627
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,12202,29,90.81,700,202,430
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,10501,19,59.98,535,197,370
Chocolate Pen - Target,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2542,9,19.05,159,51,108
Chocolate Pen - Target,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,98,0,1.29,8,3,5
Chocolate Pen - Target,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,9890,18,76.26,600,154,371
Chocolate Pen - Target,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,852,3,6.62,62,18,44
Chocolate Pen - Amazon,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,575,4,3.74,30,10,23
Chocolate Pen - Amazon,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2343,8,17.59,159,74,124
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,20587,46,109.76,1130,426,871
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1378,2,6.67,51,17,41
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,8447,12,53.96,436,167,309
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,58033,159,192.77,3211,1215,2557
Chocolate Pen - Walmart,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,4157,5,24.13,187,67,123
Chocolate Pen - Walmart,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,306,0,3.26,29,15,25
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,464,0,1.25,35,11,23
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1043,2,5.13,65,16,48
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,10459,23,75.01,572,180,370
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,4567,12,29.07,214,55,143
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,85291,208,261.54,7724,2624,6365
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,11661,45,95.72,792,228,494
Chocolate Pen - Target,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,409,2,3.27,12,1,9
Chocolate Pen - Target,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,931,0,8.47,60,14,40
Chocolate Pen - Target,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1180,3,3.68,46,19,38
Chocolate Pen - Target,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1672,12,6.98,151,47,109
Chocolate Pen - Target,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2378,2,18.79,136,35,90
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,92,0,0.41,7,3,5
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,7681,15,57.71,410,96,251
Chocolate Pen - Amazon,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,11890,23,60.25,589,181,385
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,38661,97,119.6,2053,738,1560
Chocolate Pen - Amazon,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,4969,7,35.48,288,115,210
Video- US - M 18-45 - Music - V2400HD - Target,Video- US - M 18-45 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4059,10,19.76,396,99,300
Video- US - M 18-45 - Music - V2400HD - Walmart,Video- US - M 18-45 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,240,0,0.9,18,5,13
Video- US - M 18-45 - Music - V2400HD - ToysRUs,Video- US - M 18-45 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1670,1,7.92,153,53,114
Video- US - M 5-7 - Music - V2400HD - Walmart,Video- US - M 5-7 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,450,0,4.68,22,6,16
Video- US - M 8-12 - Music - V2400HD - ToysRUs,Video- US - M 8-12 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1226,3,12.8,72,14,46
Video- US - M 13-17 - Music - V2400HD - ToysRUs,Video- US - M 13-17 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3926,10,13.5,175,45,121
Video- US - M 5-7 - Music - V2400HD - Target,Video- US - M 5-7 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,127,0,1.21,5,1,2
Video- US - M 13-17 - Music - V2400HD - Walmart,Video- US - M 13-17 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,12276,24,41.2,510,126,353
Video- US - M 5-7 - Music - V2400HD - ToysRUs,Video- US - M 5-7 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,472,0,4.19,20,6,14
Video- US - M 13-17 - Music - V2400HD - Target,Video- US - M 13-17 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,606,2,1.35,32,5,22
Video- US - M 8-12 - Music - V2400HD - Walmart,Video- US - M 8-12 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,16,0,0.17,1,1,1
Video- US - M 8-12 - Music - V2400HD - Target,Video- US - M 8-12 - Music,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,6,0,0.05,0,0,0
Video- US - M 8-12 - Movies - V2400HD - Walmart,Video- US - M 8-12 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,500,2,6.66,26,5,19
Video- US - M 8-12 - Movies - V2400HD - ToysRUs,Video- US - M 8-12 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,52,0,0.74,2,1,1
Video- US - M 18-45 - Movies - V2400HD - Target,Video- US - M 18-45 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3386,8,19.6,303,76,217
Video- US - M 8-12 - Movies - V2400HD - Target,Video- US - M 8-12 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1092,2,14.79,67,14,42
Video- US - M 18-45 - Movies - V2400HD - Walmart,Video- US - M 18-45 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1,0,0.0,0,0,0
Video- US - M 18-45 - Movies - V2400HD - ToysRUs,Video- US - M 18-45 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,559,1,2.3,38,13,30
Video- US - M 5-7 - Movies - V2400HD - Walmart,Video- US - M 5-7 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,666,4,7.95,38,10,27
Video- US - M 5-7 - Movies - V2400HD - Target,Video- US - M 5-7 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,436,0,5.18,28,6,17
Video- US - M 5-7 - Movies - V2400HD - ToysRUs,Video- US - M 5-7 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,58,0,0.79,0,0,0
Video- US - M 18-45 - Games - V2400HD - ToysRUs,Video- US - M 18-45 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3543,4,14.65,320,94,243
Video- US - M 18-45 - Drones - V2400HD - ToysRUs,Video- US - M 18-45 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,6865,15,30.31,624,164,450
Video- US - M 18-45 - Games - V2400HD - Target,Video- US - M 18-45 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,7248,19,26.8,539,137,406
Video- US - M 18-45 - Drones - V2400HD - Target,Video- US - M 18-45 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,12879,20,42.9,863,206,595
Video- US - M 18-45 - Drones - V2400HD - Walmart,Video- US - M 18-45 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2425,4,10.19,210,48,147
Video- US - M 18-45 - Games - V2400HD - Walmart,Video- US - M 18-45 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,62,0,0.15,2,2,2
Video- US - M 18-45 - Movies - V2400HD - ToysRUs,Video- US - M 18-45 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,234,1,0.65,10,2,7
Video- US - M 18-45 - Movies - V2400HD - Target,Video- US - M 18-45 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4187,7,17.13,349,84,255
Video- US - M 18-45 - Movies - V2400HD - Walmart,Video- US - M 18-45 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3100,8,10.5,209,58,153
Video- US - M 8-12 - Games - V2400HD - ToysRUs,Video- US - M 8-12 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3603,4,36.27,159,39,102
Video- US - M 8-12 - TV Shows - V2400HD - ToysRUs,Video- US - M 8-12 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4144,7,41.51,248,56,171
Video- US - M 8-12 - Games - V2400HD - Target,Video- US - M 8-12 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,225,1,1.93,8,1,6
Video- US - M 8-12 - TV Shows - V2400HD - Target,Video- US - M 8-12 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,3073,7,24.31,143,32,95
Video- US - M 8-12 - Games - V2400HD - Walmart,Video- US - M 8-12 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,144,0,1.27,4,1,2
Video- US - M 8-12 - TV Shows - V2400HD - Walmart,Video- US - M 8-12 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,7,0,0.04,0,0,0
Video- US - M 18-45 - YouTube - V2400HD - ToysRUs,Video- US - M 18-45 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,5565,9,22.11,420,87,309
Video- US - M 18-45 - TV Shows - V2400HD - ToysRUs,Video- US - M 18-45 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,465,1,1.21,30,11,24
Video- US - M 18-45 - YouTube - V2400HD - Target,Video- US - M 18-45 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1311,3,4.88,93,25,67
Video- US - M 18-45 - TV Shows - V2400HD - Target,Video- US - M 18-45 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1639,4,4.34,68,15,45
Video- US - M 18-45 - TV Shows - V2400HD - Walmart,Video- US - M 18-45 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4572,9,23.21,390,100,279
Video- US - M 18-45 - YouTube - V2400HD - Walmart,Video- US - M 18-45 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,409,2,0.93,16,5,10
Video- US - M 8-12 - Drones - V2400HD - ToysRUs,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,57,1,0.62,3,0,2
Video- US - M 8-12 - Drones - V2400HD - Target,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2717,1,22.22,98,18,61
Video- US - M 8-12 - Drones - V2400HD - Walmart,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1743,3,14.57,91,16,53
Video- US - M 5-7 - YouTube - V2400HD - ToysRUs,Video- US - M 5-7 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2253,3,19.64,126,26,69
Video- US - M 8-12 - Movies - V2400HD - ToysRUs,Video- US - M 8-12 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,25,0,0.19,2,0,0
Video- US - M 5-7 - YouTube - V2400HD - Target,Video- US - M 5-7 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,18,0,0.12,1,0,1
Video- US - M 8-12 - Movies - V2400HD - Target,Video- US - M 8-12 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,80,0,0.59,2,0,1
Video- US - M 8-12 - Movies - V2400HD - Walmart,Video- US - M 8-12 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2570,6,24.87,133,25,78
Video- US - M 5-7 - YouTube - V2400HD - Walmart,Video- US - M 5-7 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,110,0,0.88,8,1,4
Video- US - M 8-12 - YouTube - V2400HD - ToysRUs,Video- US - M 8-12 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4004,4,39.43,166,34,118
Video- US - M 8-12 - YouTube - V2400HD - Target,Video- US - M 8-12 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1984,2,22.42,120,35,80
Video- US - M 8-12 - YouTube - V2400HD - Walmart,Video- US - M 8-12 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,167,0,1.5,9,1,4
Video- US - M 5-7 - TV Shows - V2400HD - ToysRUs,Video- US - M 5-7 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,48,0,0.37,2,0,1
Video- US - M 5-7 - TV Shows - V2400HD - Target,Video- US - M 5-7 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1931,2,17.72,104,19,65
Video- US - M 5-7 - TV Shows - V2400HD - Walmart,Video- US - M 5-7 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2166,2,18.42,113,33,83
Video- US - M 5-7 - Games - V2400HD - ToysRUs,Video- US - M 5-7 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,24,0,0.24,1,0,0
Video- US - M 5-7 - Drones - V2400HD - ToysRUs,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,431,1,3.99,20,7,14
Video- US - M 5-7 - Games - V2400HD - Target,Video- US - M 5-7 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1741,1,13.85,87,30,58
Video- US - M 5-7 - Drones - V2400HD - Target,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,11,0,0.08,1,0,0
Video- US - M 5-7 - Drones - V2400HD - Walmart,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,141,0,0.92,10,3,7
Video- US - M 5-7 - Games - V2400HD - Walmart,Video- US - M 5-7 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,138,1,1.06,4,0,1
Video- US - M 13-17 - Movies - V2400HD - Target,Video- US - M 13-17 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,2,0,0.01,0,0,0
Video- US - M 13-17 - Movies - V2400HD - ToysRUs,Video- US - M 13-17 - Gifts,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,4,0,0.04,0,0,0
Video- US - M 5-7 - Movies - V2400HD - ToysRUs,Video- US - M 5-7 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,87,0,0.77,4,1,2
Video- US - M 5-7 - Movies - V2400HD - Target,Video- US - M 5-7 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1312,1,13.38,75,17,39
Video- US - M 5-7 - Movies - V2400HD - Walmart,Video- US - M 5-7 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,78,0,0.75,3,0,1
Video- US - M 13-17 - Movies - V2400,Video- US - M 13-17 - Gifts,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,1,0,0.01,0,0,0
Video- US - M 13-17 - Movies - S1700,Video- US - M 13-17 - Gifts,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,2,0,0.05,0,0,0
Video- US - M 13-17 - Movies - M500 - 30 Secs,Video- US - M 13-17 - Gifts,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,1,0,0.01,0,0,0
Video- US - M 13-17 - Movies - V2400HD - ToysRUs,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,472,0,1.29,12,2,9
Video- US - M 13-17 - TV Shows - V2400HD - ToysRUs,Video- US - M 13-17 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,11747,46,54.28,712,165,527
Video- US - M 13-17 - Movies - V2400HD - Target,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,10989,13,34.08,394,89,272
Video- US - M 13-17 - TV Shows - V2400HD - Target,Video- US - M 13-17 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,243,1,0.62,9,2,7
Video- US - M 13-17 - Movies - V2400HD - Walmart,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,8024,16,19.49,232,46,152
Video- US - M 13-17 - TV Shows - V2400HD - Walmart,Video- US - M 13-17 - TV Shows,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,64,0,0.12,2,2,2
Video- US - M 13-17 - Drones - V2400HD - ToysRUs,Video- US - M 13-17 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,9803,28,38.49,464,97,314
Video- US - M 13-17 - Games - V2400HD - ToysRUs,Video- US - M 13-17 - Games,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,15758,10,38.47,416,94,290
Video- US - M 13-17 - YouTube - V2400HD - ToysRUs,Video- US - M 13-17 - YouTube,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,18363,32,70.58,816,160,579
Video- US - M 13-17 - Drones - V2400HD - Target,Video- US - M 13-17 - Drones,Sky Viper - Video Views - Instagram,2016-12-01,2016-12-01,1188,0,3.01,31,10,19
